filename	id_v1	value1	id_v2	value2	id_v3	value3
NY_00020326.jpg	301	Foresitera eggerisana	310	Forestiera eggersiana Krug & Urb	318	Oleaceae
NY_00040685.jpg	302	Jasminum fluminense Vell.	316	Jasminum fluminense Vell	317	Jasminum fluminense
NY_00040919.jpg	301	Manilkara bidentata	307	Manilkara bidentata	313	Manilkara bidentata (A. L. Candolle) Chevalier
NY_00198945.jpg	301	gastonia cutinougia	318	Gastonia cutichongia Lyam.	48	Gastonia cutispongia
NY_00198993.jpg	306	Polyscias obtusa Harms	307	Nothopanax tricochleatus Miq. 	318	Nothophanax tricodileatrium Nug.
NY_00413475.jpg	301	Jasminium fluminense	309	Jasminium fluminense Vell.	318	Jasminium fluminence Vell.
NY_00413589.jpg	301	Myriophyllum aquatium	301	Myriophyllum aquatium	306	Myriophyllum aquaticum
NY_00499439.jpg	306		314	Cymbalavia Cymbalavia (L.) Weltst	318	
NY_00617450.jpg	301	Daucus carota	318	Daucus carota L.	48	Daucus carota L.
NY_00641566.jpg	301	Bambusa tuldoides	303	Gramineae	311	Bambusa tuldoides Munro
NY_00754868.jpg	307	Bambusa multiplex (Loureiro) Raeuschel	317	Bambusa multiplex	318	Bambus multiplex
NY_00754872.jpg	301	Bambusa vulgaris	303	Bambusa vulgaris Schrad	307	Bambusa vulgaris Schrad.
NY_00819601.jpg	305	Ludwigia peploides (HBK.) Raven subsp. peploides	306	Ludwigia peploides Raven subsp. peptides	317	Ludwigia peploides
NY_01334326.jpg	315	B. floridana	317		318	
NY_01334334.jpg	307	Buchnera longifolia	317	Buchnera longifolia	318	Buchnera longifolia Kunth
NY_01334374.jpg	301	Capraria biflora L.	302	Capraria biflora L.	315	Capraria biflora
NY_01334391.jpg	302	Capraria biflora L.	306	Capraria biflora L.	307	Capraria biflora
NY_01334433.jpg	303	Capraria biflora	318	Cepraria bifiora L.	48	Capraria biflora L.
NY_01334438.jpg	303	Capraria biflora	306	Capraria biflora	307	Capraria biflora
NY_01334464.jpg	301	Capraria biflora	318	Capraria biflora L.	48	Capraria biflora L.
NY_01334493.jpg	303	Losella subulata	306	Limosella subulata Ives	310	Linosella subulata Ives.
NY_01334508.jpg	301	Lindernia crustacea	306	Lindernia crustacea	307	Lindernia crustacea
NY_01497987.jpg	302	Linociera domigenlio (Lam.) Knobl.	306	Lindeiera domingentio	308	Lineciera domingentis (Lam.) Knobl.
NY_01498039.jpg	306	Olea europea L.	309	Olea europea L.	318	Olea europea L.
NY_01498043.jpg	306	Olea europaea L	318		48	Olea europea L.
NY_01498065.jpg	301	Cynoctonm mitreola	307	Cynoctonum mitreola (L.) Britt.	311	Cynoctonum mitreola
NY_01498090.jpg	303	Mitreola petoilata	304	Mitreola petiolata	306	Mitreola petiolate
NY_01498103.jpg	311	Cynoctomem mitreola 	318		48	Mitreola petiolata
NY_01498113.jpg	318	Mitreola fitiolata	48	Mitreola petiolata (J. F. Gmel.)	67	Mitreola hesiolasa Torr es. Gr. 
NY_01498139.jpg	318		48		67	Polypremuru Prolurulieus L. 
NY_01498155.jpg	301	Spigelia anthelmia	306		318	Arthemisia L.
NY_01498166.jpg	318	Spigelia anthelmia L	48	Spigelia anthelmia L.	67	Spigelia anthelmia L.
NY_01498191.jpg	301	Spigelia anthelmia	306	Spigelia anthelmia	310	Spigelia anthelmia L.

