filename	id_v1	event_date1	id_v2	event_date2	id_v3	event_date3
EMEC609488_Cerceris_compacta.txt	104	July 11, 1951	105	11 july 1951	107	11 July 1951
EMEC609504_Cerceris_compacta.txt	104	July 11, 1951	105	11 july 1951	107	11 July 1951
EMEC609515_Cerceris_compacta.txt	104	July 17, 1932	105	7-17-32	107	7-17-32
EMEC609523_Cerceris_compacta.txt	102	VII.4.54	104	July 4, 1954	105	VII-4-54
EMEC609529_Cerceris_compacta.txt	104	June 28, 1953	105	VI-28-53	107	VI-28-53
EMEC609543_Cerceris_compacta.txt	104	July 8, 1952	105	VII-8-52	105	VII-8-52
EMEC609600_Cerceris_compacta.txt	104	Sept. 4, 1978	105	4 April 1978	107	4 September 1978
EMEC609601_Cerceris_compacta.txt	104	June 25, 1975	104	June 25, 1975	105	25 June 1975
EMEC609612_Cerceris_compacta.txt	104	July 18-22, 1951	104	July 18-22. 1951	105	VII-18-22-51
EMEC609623_Cerceris_compacta.txt	104	July 18, 1951	105	VII-22-51	107	July 18-22 1951
EMEC609639_Cerceris_compar_compar.txt	101	07/01/1934	104	July 1, 1934	105	1 july 1934
EMEC609675_Cerceris_conifrons.txt	104	Aug. 6, 1950	105	VIII-6-50	107	August 6, 1950
EMEC609686_Cerceris_conifrons.txt	103	26 August 1977	104	Aug. 26, 1977	105	26-VIII-1977
EMEC609696_Cerceris_conifrons.txt	104	Aug. 10, 1951	105	10 aug 51	105	10 aug 51
EMEC609705_Cerceris_conifrons.txt	104	June 28, 1966	105	28 June 1966	107	June-28-66
EMEC609711_Cerceris_convergens.txt	104	June 2-5, 1951	105	2 May 1951	107	June 2-5 1951
EMEC609719_Cerceris_convergens.txt	104	Jan. 1925	105	7 1925	107	1925
EMEC609722_Cerceris_convergens.txt	104	July 16, 1950	105	VII-16-50	107	July-16-50
EMEC609740_Cerceris_convergens.txt	104	Apr. 26, 1952	107	April 26, 1952	110	IV-26-52
EMEC609764_Cerceris_convergens.txt	104	July 2, 1953	105	VII-2-53	107	July-2-53
EMEC609785_Cerceris_convergens.txt	102	61	104	1961?	105	8 August 1959
EMEC609803_Cerceris_convergens.txt	104	Sept. 1, 1959	105	IX-1-1959	107	September 1, 1959
EMEC609826_Cerceris_convergens.txt	102	57	103		104	Apr. 27, 1954
EMEC609828_Cerceris_convergens.txt	104	May 3, 1956	107	May 3, 1956	107	May 3 1956
EMEC609879_Cerceris_convergens.txt	104	Sept. 15, 1974	105	IX-15-1974	107	September 15, 1974
EMEC609880_Cerceris_convergens.txt	104	Sept. 4, 1978	105	4-IX-1978	107	4-IX-1978
EMEC609882_Cerceris_convergens.txt	103		104	Aug. 20, 1976	105	VIII-20-76
EMEC609885_Cerceris_convergens.txt	104	Oct. 28, 1956	105	X-28-56	107	October 28, 1956
EMEC609900_Stigmus_sp.txt	101	5-22-1980	104	May 22, 1980	105	V-22-1980
EMEC609903_Stigmus_sp.txt	104	Aug. 2, 1973	104	Aug. 2, 1973	105	VIII-2-73
EMEC609926_Stigmus_sp.txt	104	July 12, 1970	105	12 July 1970	106	1970
EMEC609939_Stigmus_sp.txt	104	Sept. 14, 1992	105	Sept 14-16, 1992	107	September 14-16 1992
EMEC609987_Aphilanthops_foxi.txt	104	June 29, 1952	105	IV-29-52	107	IV-29-52
EMEC609997_Aphilanthops_foxi.txt	104	April 30, 1949	105	IV-30-49	107	April 30, 1949
