filename	id_v1	value1	id_v2	value2	id_v3	value3
EMEC609488_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609504_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609515_Cerceris_compacta.jpg	37		75		80	
EMEC609523_Cerceris_compacta.jpg	37	J.W. MacSwain	75	J. W. MacSwain		
EMEC609529_Cerceris_compacta.jpg	75	Snilhing	80	H.A. Scullen		
EMEC609543_Cerceris_compacta.jpg	37	E.E. Gilbert, C.D. MacNeil	75	E. E. Gilbert, C. D. MacNeil	80	E. E. Gilbert, C. D. MacNeil
EMEC609600_Cerceris_compacta.jpg	37	R.E. Coville	75	R. E. Coville		
EMEC609601_Cerceris_compacta.jpg	37	J.R. Powers	75	J. R. Powers	80	J. R. Powers
EMEC609612_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609623_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd		
EMEC609639_Cerceris_compar_compar.jpg	37	Krombein	75	Krombein		
EMEC609675_Cerceris_conifrons.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609686_Cerceris_conifrons.jpg	37	R.E. Coville	75	R. E. Coville		
EMEC609696_Cerceris_conifrons.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609705_Cerceris_conifrons.jpg	37	J.M. Davidson, M.A. Cazier	75	J. M. Davidson, M. A. Cazier		
EMEC609711_Cerceris_convergens.jpg	37	P.D. Hurd	75	P. D. Hurd		
EMEC609719_Cerceris_convergens.jpg	37		75	Davis, Cal		
EMEC609722_Cerceris_convergens.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609740_Cerceris_convergens.jpg	37	J.G. Rozen	75	J. G. Rozen		
EMEC609764_Cerceris_convergens.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609785_Cerceris_convergens.jpg	37		75	E. G. Linsley		
EMEC609803_Cerceris_convergens.jpg	37	O.C. LaFrance	75	O. C. La France	80	O.C. La France
EMEC609826_Cerceris_convergens.jpg	37	M. Wasbauer	75	M. Wasbauer	80	M. Wasbauer
EMEC609828_Cerceris_convergens.jpg	37	P.D. Hurd	75	P. D. Hurd		
EMEC609879_Cerceris_convergens.jpg	37		75	PD Hurd, AE & MM Michelbacher	80	
EMEC609880_Cerceris_convergens.jpg	37	R.E. Coville	75	R. E. Coville		
EMEC609882_Cerceris_convergens.jpg	37	P. Rude	75	P. Rude	80	
EMEC609885_Cerceris_convergens.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609900_Stigmus_sp.jpg	75	J. R. Powers	80	Moorhead, Minn, Clay County		
EMEC609903_Stigmus_sp.jpg	37		75	S. Szerlip, R. Coville, J. Powell	80	
EMEC609926_Stigmus_sp.jpg	37		75	E. Schlinger	80	
EMEC609939_Stigmus_sp.jpg	37	W. Middlekauff	75	W. Middlekauff	80	W. Middlekauff
EMEC609987_Aphilanthops_foxi.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P.D. Hurd
EMEC609997_Aphilanthops_foxi.jpg	75	E. G. Linsley, JW MacSwain, R. F. Smith	80	E. G. Linsley. JW MacSwain, R.F. Smith		
