filename	dwc:catalogNumber	dwc:recordedBy	dwc:recordNumber	dwc:verbatimEventDate	aocr:verbatimScientificName	aocr:verbatimInstitution	dwc:datasetName	dwc:verbatimLocality	dwc:country	dwc:stateProvince	dwc:county	dwc:verbatimLatitude	dwc:verbatimLongitude	dwc:eventDate	dwc:scientificName	dwc:decimalLatitude	dwc:decimalLongitude	dwc:fieldNotes	dwc:sex	dwc:identifiedBy	dwc:dateIdentified	dwc:habitat	dwc:verbatimElevation
EMEC609944_Stigmus_sp.jpg	EMEC 609,944	M.Wasbauer		31-VI-1976		U.C. Berkeley		COSTA RICA: Cartago Turrialba IICA	Costa Rica					1976-06-31				Malaise Trap					
EMEC609963_Timberlakena_yucaipa.jpg	EMEC 609,963	J.Powell		VIII-26-81		U.C. Berkeley		CAL:Antioch Natl. Wildl. Pres. (LC), Contra Costa Co.		California	Contra Costa			1981-08-26									
EMEC609945_Stigmus_sp.jpg	EMEC 609,945	M.Wasbauer		VI-8-76		U.C. Berkeley		CR:Cartago Turrialba IICA						1976-06-08				malaise trap					
EMEC609770_Cerceris_convergens.jpg	EMEC 609,770	E. G. Linsley		VII-13-59	Cerceris convergens V.& C.	U.C. Berkeley		Duran Torrance Co. N.Mex.		New Mexico	Torrance			1959-07-13					female	H.A.Scullen	61		
EMEC609624_Cerceris_compacta.jpg	EMEC 609,624	P. D. Hurd		VII-18-57		U.C. Berkeley		MEX:Chiap. Suchiapa						1957-07-18									
EMEC609523_Cerceris_compacta.jpg	EMEC 609,523	J. W. MacSwain		VII-4-54	Cerceris compacta compacta Cr.	U.C. Berkeley		Moctezuma Chih.,MEX						1954-07-04					male	H.A.Scullen	1962		
EMEC609921_Stigmus_sp.jpg	EMEC 609,921	E.Rogers		V-5-75		U.C. Berkeley		CALIF:Monterey Co. 5 air mi SW Green- field,Arroyo Seco River 400'		California	Monterey			1975-05-05				Flight trap					400'
EMEC609939_Stigmus_sp.jpg	EMEC 609,939	W.Middlekauff		Sept 14 16,1992		U.C. Berkeley		CA:Ah-Pah Cr.confl with Klamath River Humboldt Co.		California	Humboldt			1992-09-14/16				flight trap					
EMEC609601_Cerceris_compacta.jpg	EMEC 609,601	J.R.Powers		June 25, 1975		U.C. Berkeley		2 mi W Horse Cave Hart Co., Kentucky		Kentucky	Hart			1975-06-25									
EMEC609903_Stigmus_sp.jpg	EMEC 609,903	S.Szerlip R.Coville, J.Powell		VIII-2-73		U.C. Berkeley		ARIZ: Cochise Co., South Fork, Cave Crk. 4 mi SW Portal		Arizona	Cochise			1973-08-02									
EMEC609747_Cerceris_convergens.jpg	EMEC 609,747	N.W.Frazier		V-30 1937	Cerceris convergens V.& C.	U.C. Berkeley		Panamint Mts. Inyo Co., Calif.		California	Inyo			1937-05-30					female	H.A.Scullen	50		
EMEC609766_Cerceris_convergens.jpg	EMEC 609,766	J. W. MacSwain		X-9-55	Cerceris convergens V.& C.	U.C. Berkeley		Palm Springs Riverside Co., Calif		California	Riverside			1955-10-09					female	H.A.Scullen	57		
EMEC609488_Cerceris_compacta.jpg	EMEC 609,488	P. D. Hurd		1951-07-11	Cerceris compacta Cr.	U.C. Berkeley		10 km.W.of Zitacuaro, Mich.,Mex.	Mexico					1951-07-11					female	H. A. Scullen	1958		
EMEC609836_Cerceris_convergens.jpg	EMEC 609,836	G. A. Marsh		IV-29-52	Cerceris convergens V.& C.	U.C. Berkeley		Hopkins Well Riverside Co. Calif.		California	Riverside			1952-04-29					male	H.A.Scullen	55		
EMEC609952_Stigmus_sp.jpg	EMEC 609,952	H. V. Daly		May 10, 1991		U.C. Berkeley		"CA:Contra Costa Co. Kensington, 690 ft. 37 deg 54' 26"" N 122 deg 16' 32"" W"				"37 deg 54' 26"" N"	"122 deg 16' 32"" W"	1991-05-10		37.90722	-122.27556	Malaise Trap					690 ft.
EMEC609651_Cerceris_completa.jpg	EMEC 609,651	C.D.MacNeill		V1-27-53	Cerceris completa Bks	U.C. Berkeley		Calif:Sta.Clara Co.,SanAntonio Vy.RangerSta.		California	Santa Clara			1953-06-27					male	H.A.Scullen	66		
EMEC609689_Cerceris_conifrons.jpg	EMEC 609,689	M.Wasbauer		IV-22/23-1953		U.C. Berkeley		TEXAS:Brewster Co Big Bend Nat Park Santa Elena Cyn.	Texas	Brewster				1953-04-22/23									
EMEC609815_Cerceris_convergens.jpg	EMEC 609,815	R.M.Bohart		X-30-38	Cerceris convergens V.& C.	U.C. Berkeley		Palm Spr. Calif.		California				1938-10-30					male	H.A.Scullen	58		
EMEC609908_Stigmus_sp.jpg	EMEC 609,908	R.Dietz, J.Hafernik		V-23-76		U.C. Berkeley		CALIF:Humboldt Co. 3 mi. N Garberville		California	Humboldt			1976-05-23									
EMEC609623_Cerceris_compacta.jpg	EMEC 609,623	P. D. Hurd		VII-18-22-51		U.C. Berkeley		Ahuacatlan Nay.,Mex.						1951-07-18/22								On fls. of Donnellsmithia Hintonii M&C	
EMEC609780_Cerceris_convergens.jpg	EMEC 609,780	E. S. Ross		V-13-1939	Cerceris convergens V.& C.	U.C. Berkeley		Palm Canyon Riverside Co., Calif		California	Riverside			1939-05-13					male	H.A.Scullen	58		
EMEC609933_Stigmus_sp.jpg	EMEC 609,933	R. Coville		VIII-2/3-1973		U.C. Berkeley		ARIZ: Cochise Co., Stewart Camp, 2mi SW Portal 4800' el.		Arizona	Cochise			1973-08-2/3				on Melilotus					4800' el.
EMEC609914_Stigmus_sp.jpg	EMEC 609,914	J.Powell		III-20-67		U.C. Berkeley		MEX Baja Calif. Tajo Branch Cantillas Cyn 1700-2700' Sierra Juarez		Mexico				1967-03-20				on Salix					1700-2700'
EMEC609686_Cerceris_conifrons.jpg	EMEC 609,686	R. E. Coville		26-VIII-1977		U.C. Berkeley		Ariz.: Cochise Co., 6.5 mi. SE Portal		Arizona	Cochise			1977-08-26									
EMEC609935_Stigmus_sp.jpg	EMEC 609,935 216053	ME Buegler E.I.Schlinger		VII-2-75		U.C. Berkeley	Univ. Calif. Insect Survey	CALIF:Mendocino Co. Inglenook Fen 4 mi.N.Ft.Bragg		California	Mendocino			1975-07-02									
EMEC609576_Cerceris_compacta.jpg	EMEC 609,576	C T Dodds		VII-7-1922	Cerceris compacta Cr.	U. C. Berkeley		LosMochis Sinaloa Mex.						1922-07-07					male	H.A. Scullen	1960		
EMEC609997_Aphilanthops_foxi.jpg	EMEC 609,997	E.G.Linsley JWMacSwain R.F.Smith		IV-30-49		U.C. Berkeley		6 mi.W. Indio Riverside Co., Calif		California	Riverside			1949-04-30				Melilotus					
EMEC609857_Cerceris_convergens.jpg	EMEC 609,857	J.W.MacSwain		VIII-17-60	Cerceris convergens V.& C.	U.C. Berkeley		Topaz Lake Douglas Co., Nev.		Nevada	Douglas			1960-08-17					male	H.A.Scullen	62		
EMEC609782_Cerceris_convergens.jpg	EMEC 609,782	P. D. Hurd		27 June 1951	Cerceris convergens V.& C.	U.C. Berkeley		Alpuyeca, Morelos,Mex.		Mexico				1951-06-27					male	H.A.Scullen	55		
EMEC609742_Cerceris_convergens.jpg	EMEC 609,742	R.Coville		IX-26 1978	Cerceris convergens	U.C. Berkeley		CAL:Sta.Barb.Co. Sta.Cruz Is. Central Vy.		California	Santa Barbara			1978-09-26						Menke	1981		
EMEC609696_Cerceris_conifrons.jpg	EMEC 609,696	P. D. Hurd		10 Aug.'51	Cerceris conifrons Mick.	U.C. Berkeley		8 mi. So. of Camargo, Chih.,Mex.	Mexico	Chihuahua				1951-08-10					female	H.A.Scullen	57		
EMEC609853_Cerceris_convergens.jpg	EMEC 609,853	R.H.Goodwin		VII-13-54	Cerceris convergens V.& C.	U.C. Berkeley		Hot Spring Mt. LassenCo.Calif		California	Lassen			1954-07-13					male	H.A.Scullen	58		
EMEC609614_Cerceris_compacta.jpg	EMEC 609,614	P. D. Hurd		VII-18-22-51		U.C. Berkeley		Ahuacatlan, Nay.,Mex.						1951-07-18/22								On fls. of Donnellsmithia Hintonii M&C	
EMEC609740_Cerceris_convergens.jpg	EMEC 609,740	J. G. Rozen		IV-26-52	Cerceris convergens Viereck & CKll	U.C. Berkeley		Box Canyon Riverside Co. Calif.		California	Riverside			1952-04-26					male	T.Griswold			
EMEC609803_Cerceris_convergens.jpg	EMEC 609,803	O. C. La France		IX-1-1959	Cerceris convergens V.& C.	U.C. Berkeley		Morongo Vy. San Bernardino Co. Calif.		California	San Bernardino			1959-09-01				Eriogonum	male	H.A.Scullen	63		
EMEC609885_Cerceris_convergens.jpg	EMEC 609,885	J.W.MacSwain		X-28-56		U.C. Berkeley		Sabino Canyon Pima Co. Ariz.		Arizona	Pima			1956-10-28									
EMEC609968_Timberlakena_yucaipa.jpg	EMEC 609,968	Powell		VIII-21-81		U.C. Berkeley		CAL:Antioch Natl. Wildl. Pres. (LC), Contra Costa Co.		California	Contra Costa			1981-08-21									
EMEC609910_Stigmus_sp.jpg	EMEC 609,910	R.Wharton & R.Coville		V-23-76		U.C. Berkeley		CALIF:Humboldt Co. 3 mi. N Garberville		California	Humboldt			1976-05-23									
EMEC609612_Cerceris_compacta.jpg	EMEC 609,612	P. D. Hurd		VII-18-22-51		U.C. Berkeley		Ahuacatlan, Nay.,Mex.					1951-07-18/22									On fls. of Donnellsmithia Hintonii M&C	
EMEC609515_Cerceris_compacta.jpg	EMEC 609,515			7-17-32	Cerceris compacta compacta Cr.	U.C. Berkeley		Phoenix Ariz.											female	H.A.Scullen	62		
EMEC609848_Cerceris_convergens.jpg	EMEC 609,848	P. D. Hurd		IV-24-1955	Cerceris convergens V.& C.	U.C. Berkeley		Borego,Calif. San Diego Co.		California	San Diego			1955-04-24					male	H.A.Scullen	58		
EMEC609526_Cerceris_compacta.jpg	EMEC 609,526	D.H.Janzen		VI-11-1962	Cerceris compacta compacta Cr.	U.C. Berkeley		10 mi. S. Caborca Son. Mexico	Mexico					1962-06-11					male	H.A.Scullen	1967		
EMEC609816_Cerceris_convergens.jpg	EMEC 609,816	E.G. Linsley		IX-9-58	Cerceris convergens V.& C.	U.C. Berkeley		Douglas,6 mi. E. Cochise Co. Ariz.		Arizona	Cochise			1958-09-09				Haplopappus hartwegi	male	H.A.Scullen	59		
EMEC609924_Stigmus_sp.jpg	EMEC 609,924	E. Schlinger		VI-19-1970		U.C. Berkeley		CAL: Contra Costa Co. Orinda		California	Contra Costa			1970-06-19									
EMEC609543_Cerceris_compacta.jpg	EMEC 609,543	E. E. Gilbert C. D. MacNeil		VII-8-52	Cerceris aureofacialis	U.C. Berkeley		Oaxaca Oaxaca, Mex.		Oaxaca				1952-07-08					male	Cam H.A.Scullen	1961		
EMEC609861_Cerceris_convergens.jpg	EMEC 609,861	R. R. Snelling		August 17 1954	Cerceris convergens V.& C.	U.C. Berkeley		Lancaster Los Angeles Co.Calif.		California	Los Angeles			1954-08-17					male	H.A.Scullen	62		
EMEC609926_Stigmus_sp.jpg	EMEC 609,926	E. Schlinger		VII-12-1970		U.C. Berkeley		CAL: Contra Costa Co. Orinda		California	Contra Costa			1970-07-12									
EMEC609504_Cerceris_compacta.jpg	EMEC 609,504	P. D. Hurd		'11 July 1951	Cerceris compacta Cr.	U.C. Berkeley		Tuxpan,Mich- oacan,Mex.											female	H. A. Scullen	1960		
EMEC609800_Cerceris_convergens.jpg	EMEC 609,800	M. Wasbauer		V-3-56	Cerceris convergens V.& C.	U.C. Berkeley		Borrego San Diego Co. Calif.		California	San Diego			1956-05-03				Eriogonum	male	H.A.Scullen	60		
EMEC609976_Timberlakena_yucaipa.jpg	EMEC 609,976	Powell		VIII-21-81		U.C. Berkeley		CAL:Antioch Natl. Wildl. Pres. (LC), Contra Costa Co.		California	Contra Costa			1981-08-21				Eriogonum nudum					
EMEC609900_Stigmus_sp.jpg	EMEC 609,900	J.R.Powers		V-22-1980		U.C. Berkeley		Moorhead, Minn. Clay County		Minnesota	Clay			1980-05-22				Collected at malaise trap					
EMEC609902_Stigmus_sp.jpg	EMEC 609,902	J.R.Powers		VIII-14-1973		U.C. Berkeley		Moorhead Clay Co.,Minn.		Minnesota	Clay			1973-08-14				Collected at malaise trap					
EMEC609930_Stigmus_sp.jpg	EMEC 609,933	R. Coville		VIII-2/3-1973		U.C. Berkeley		ARIZ: Cochise Co., Stewart Camp, 2mi SW Portal 4800' el.		Arizona	Cochise			1973-08-2/3				on Melilotus					4800' el.
EMEC609918_Stigmus_sp.jpg	EMEC 609,918	R.Coville		VIII-12-73		U.C. Berkeley		CALIF:San Luis Obispo Co.Dune Lakes,3mi S Oceano		California	San Luis Obispo			1973-08-12				on Baccharis pilularis					
EMEC609636_Cerceris_compar_compar.jpg	EMEC 609,636	P. D. Hurd		10 Aug. 1951	Cerceris compar albinota Scul.	U.C. Berkeley		18 mi.W.Jimenez Chih.,Mexico	Mexico					1951-08-10					male	H.A.Scullen	69	On Baccharis	
EMEC609867_Cerceris_convergens.jpg	EMEC 609,867	E. I. Schlinger		VII-13-1954	Cerceris convergens V.& C.	U.C. Berkeley		Nombre de Dios Durango, MEX.		Mexico				1954-07-13					male	H.A.Scullen	62		
EMEC609882_Cerceris_convergens.jpg	EMEC 609,882	R.Rude		VIII-20-76		U.C. Berkeley		CALIF:San Dgo.Co. 7 mi.NNW Warners Sprs,Indian Flats Campgd.		California	San Diego			1976-08-20				Eriogonum fasciculatum					
EMEC609880_Cerceris_convergens.jpg	EMEC 609,880	R.E.Coville		4-IX-1978		U.C. Berkeley		Ariz.:Cochise Co. Stateline Rd.,1 mi. NW Rodeo, N. Mex., 4100'		Arizona	Cochise			1978-09-04									4100'
EMEC609890_Cerceris_convergens.jpg	EMEC 609,890	W.J.Turner		VII-11-67		U.C. Berkeley		Topaz Lake, Douglas Co. NEV.		Nevada	Douglas			1967-07-11									
EMEC609730_Cerceris_convergens.jpg	EMEC 609,730	F.D.Parker		VII-3-1964	Cerceris convergens V. & C.	U.C. Berkeley		Nixon Nev. Washoe Co.		Nevada	Washoe			1964-07-03					male	H.A.Scullen	71		
EMEC609826_Cerceris_convergens.jpg	EMEC 609,826	M.Wasbauer		IV-27-54	Cerceris convergens V.& C.	U.C. Berkeley		Borego San Diego Co., Calif.		California	San Diego			1954-04-27				Croton californicus	male	H.A.Scullen	57		
