filename	id_v1	value1	id_v2	value2	id_v3	value3
NY01075765_lg.jpg	307	Pyrenocollema atlanticum (Vainio) R. C. Harris	318	Pyrenocollema atlanticum	48	Pyrenocollema atlanticum (Vainio)
NY01075766_lg.jpg	301	Arthopyenia halodytes	302	Arthopyrenia halodytes (Nyl.)	313	Arthopyrenia halodytes (Nyl.)
NY01075768_lg.jpg	301	Pyrenocollema halodtes	311	Pyrenocollema halodytes (Nyl.)	317	Pyrenocollema halodytes (Nyl.)
NY01075775_lg.jpg	306	Pyrenocollema Tichothecioides	318	PYRENOCOLLEMA TICHOTHECIOIDES	48	Pyrenocollema tichothecioides (Arn.)
NY01075790_lg.jpg	301	Arthopyrenia cinchonae	306	Arthopyrenia Cinchonae	318	Arthopyrenia cinchonae (Ach.)
NY01075792_lg.jpg	318	Arthopyrenia cinchonea (Ach.)	48	Arthopyrenia cinchonae (Ach.)	67	Arthopyrenia cinchonae (Ach.)
NY01075806_lg.jpg	314	Arthopyrenia cinchonae (Ach.) Mull. Arg. 	317	Arthopyrenia cinchonae (Ach.)	318	Arthopyrenia cinchonae
NY01075818_lg.jpg	306	Arthopyrenia cinchonae	309	Arthopyrenia cinchonae (Ach.)	310	Arthopyrenia cinchonae (Ach.) Mull. Arg.
NY01075822_lg.jpg	301	Arthopyrenia cinchonae	311	Arthopyrenia cinchonae (Ach.) Mull. Arg.	312	Arthopyrenia cinchonae (Ach.)
NY01075827_lg.jpg	302	Ciferriolichen cinchonae (Ach.)	310	Ciferriolichen cinchonae (Ach.)	317	Ciferriolichen cinchonae
NY01075831_lg.jpg	311	Arthopyrenia cinchonae (Ach.) Mull. Arg.	316	Arthopyrenia cinchonae (Ach.)	318	Arthopyernia cinchonae (Ach.)
NY01075837_lg.jpg	308	Ciferriolichen cinchonae (Ach.)	310	Ciferriolichen cinchonae (Ach.)	316	Ciferriolichen cinchonae (Ach.)
TENN-L-0000013_lg.jpg	312	Acroscyphus sphaerophoroides	48	Acroscyphus sphaerophoroides	67	Acroscyphus sphaerophoroides Lev. 
TENN-L-0000019_lg.jpg	305	Actrino 	307		312	Actinogyra
TENN-L-0000028_lg.jpg	301	Actinogyra muhlenbergii	302	Actinogyra mahlenbergii (Ach.)	306	Actinogyra muhlenbergii
TENN-L-0000035_lg.jpg	301	Actinogyra muhlenbergii	303	Actinogyra muhlenbergli (Ach.)	318	Actinogyra muhlenbergii (Ach.) Schol.
TENN-L-0000047_lg.jpg	301		306	Alectorie	318	Alectoria
TENN-L-0000057_lg.jpg	301	Alectorian fermontii	302	Alectoria Fremontii Tuck.	310	Alectoria fremontii Tuck.
TENN-L-0000058_lg.jpg	301		303	Alectoria fremontii tuck	304	Alectoria Fremontii Tuck
TENN-L-0000061_lg.jpg	302	Alectoria jubata (L.) Ach.	310	Alectoria jubata (L.) Ach.	318	Alectoria jubata (L.) Ach.
TENN-L-0000063_lg.jpg	301	Alectoria jubata	306	Alectoria jubata Ach. var. chalybeiformis Ach.	311	Alectoria jubata Ach. var. chalybeiformis Ach. Syn. of Alectoria chalybeiformis Roehling
TENN-L-0000072_lg.jpg	301	Alectoria jubata implexa	305	Alectoria jubata implexa (Hoffm.) Ach.	306	Alectoria jubata implexa
TENN-L-0000084_lg.jpg	302	Alectoria nadvornikiana Gyel.	310	Alectoria nidulifera	314	Alectoria nadvornikiana Gyel.
TENN-L-0000089_lg.jpg	309	Alectoria nigricans (Ach.)	318	Alectoria nigricans (Ach.)Nyl	48	Alectoria nigricans (Ach.)
WIS-L-0011734_lg.jpg	301	Ceharia laeuigatum rass	303	Cetraria laeviqatum rass	318	Cetraria laevigatum Rass
WIS-L-0012025_lg.jpg	301	Cetirua ulandica	310	Cetraria islandica (L) Ach. 	317	Cetraria islandica (L.) ACH
WIS-L-0012041_lg.jpg	306		48	Cetraria laevigata Rass	67	Cetraria laevigata Rass. 
WIS-L-0012052_lg.jpg	303	Cetraria larvigate Rass	317	Cetraria laerigate Rass	318	Cetraria levigata Rass
WIS-L-0012056_lg.jpg	301	Laeuigata Rass	302	Cetraria laevigata Rass	307	Cetraria laevigata Rass
WIS-L-0012062_lg.jpg	318	Coleocaulon muricatum (ACH.)	48	Caelocaulen muricatum (Ach.)	67	Caelocaulon muricatum (Ach.)
WIS-L-0012070_lg.jpg	310	Cetrelia cetrarioides (Del.ex Duby)  Culb.+ Culb.	316	Cetielia cetrarioides 	318	Cetrelis cetrarioides (Del.ex Oreby) Culb+Culb
WIS-L-0012071_lg.jpg	317	Cetrelia catrarioides	318	Cetrelia cetrarioides (Delise ex Duby) Culb&culb	48	Cetrelia cetrarioides
WIS-L-0012077_lg.jpg	306	Cetraria delisea	316	Cetrariella delisea (Bory)	318	Cetraria delisea
