filename	dwc:catalogNumber	dwc:recordedBy	dwc:recordNumber	dwc:verbatimCoordinates	dwc:verbatimEventDate	dwc:eventDate	dwc:municipality	dwc:county	dwc:stateProvince	dwc:country	aocr:verbatimScientificName	dwc:scientificName	dwc:verbatimLocality	dwc:habitat	dwc:substrate	dwc:verbatimElevation	dwc:identifiedBy	dwc:dateIdentified	dwc:verbatimLatitude	dwc:verbatimLongitude	dwc:decimalLatitude	dwc:decimalLongitude	aocr:verbatimInstitution	dwc:datasetName	dwc:fieldNotes	dwc:sex	dwc:occurrenceRemarks	dwc:associatedTaxa
WIS-L-0012077_lg.jpg		N. Grulke	87-25	68°38'N,149°31'W	August, 1987	1987-08			ALASKA	USA	Err:509	Cetraria delisea (Bory) Th. Fr.	Collected in the North Slope Foothills of the Cen- tral Brooks Range (68°38'N,149°31'W), .5 km E of Toolik Lake at 635 m	moist tussock tundra domin- ated by Ledum palustre ssp. decumbens, Eriophorum vaginatum. Betula nana, and Vaccinium vitis-idaea.		635 m			68°38'N	149°31'W	68.633	-149.517		PLANTS OF NORTHERN ALASKA			CHEMICAL TESTS: P-	
WIS-L-0012029_lg.jpg		Stephen & Sandra Talbot	88065-27	60°09.3'N, 152°35.4'W	13 Sep 1988	1988-09-13			ALASKA	USA	Cetraria kamczatica Savicz	Cetraria kamczatica Savicz	Chisik Island, Tuxedni Bay, Cook Inlet; 60°09.3'N, 152°35.4'W Map/Quad.: Kenai (A-7) Quad	Vaccinium uliginosum - Empetrum nigrum heath; slope 5°; South exposure; rounded summit		2150 ft	John W. Thomson		60°09.3'N	152°35.4'W	60.155	-152.59		FLORA OF ALASKA				
NY01075787_lg.jpg	1075787	Richard C. Harris	38868	33°41'N, 83°17'W	19 September 1996	1996-09-19		Greene	Georgia	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Oconee National Forest, end of Forest Service Road 1202 off GA 15, 33°41'N, 83°17'W	on Ilex? floodplain of Oconee River.	on Ilex?				33°41'N	83°17'W	33.683	-83.283	NEW YORK BOTANICAL GARDEN	Lichens of Georgia				
TENN-L-0000095_lg.jpg	TENN-L-0000095	E. Clebsch	17		19-23 June 1967	1967-06-19/1967-06-23			ALASKA	UNITED STATES	Alectoria ochroleuca	Alectoria ochroleuca	Amachitha Island										University of Tennessee (TENN)	LICHENS OF NORTH AMERICA				
TENN-L-0000059_lg.jpg	TENN-L-0000059	J. W. Thomson & J. A. Larsen		63° 15' N, 106° W	July 16-21, 1962	1962-07-16/1962-07-21			NORTHWEST TERRITORIES	Canada	Alectoria glabra Mot.	Alectoria glabra Mot.	Timber Bay, west side of Artillery Lake.	On spruce	On spruce				63° 15' N	106° W	63.25	-106	University of Tennessee (TENN)	LICHENES ARCTICI				
TENN-L-0000044_lg.jpg	TENN-L-0000044	A. J. Sharp and Z. Iwatsuki	A389		24 July 1967	1967-07-24			Alaska	USA	Alectoria	Alectoria	Across bay from Port Moller	Open face of cliff									University of Tennessee (TENN)	HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS, 1964-68				
TENN-L-0000063_lg.jpg	TENN-L-0000063	Edward Tuckerman					Amherst	Hampshire	Massachusetts	USA	Alectoria jubata Ach. var. chalybeiformis Ach. Syn. of Alectoria chalybeiformis Roehling	Alectoria jubata Ach. var. chalybeiformis Ach.	Amherst, Massachusetts				Edward Tuckerman						University of Tennessee (TENN)	RELIQUIAE TUCKERMANIANAE				
NY01075812_lg.jpg	1075812	William R. Buck	31001	30°32'N, 82°15'W	26 November 1996	1996-11-26		Baker	Florida	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Along C.R. 127 at Moccasin Creek, ca. 2 mi NNW of FL 2 at Baxter, 30°32'N, 82°15'W	Taxodium-hardwood stand surrounded by oak scrub.					30°32'N	82°15'W	30.533	-82.25	NEW YORK BOTANICAL GARDEN	Cryptogams of Florida				
TENN-L-0000029_lg.jpg	TENN-L-0000029	Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura	650161a		Oct. 30, 1965	1965-10-30		Macon	NORTH CAROLINA	U. S. A.	Actinogyra muhlenbergii (Ach.) Schol.	Actinogyra muhlenbergii (Ach.) Schol.	Highlands, National forest										University of Tennessee (TENN)	LICHENS OF NORTH AMERICA				
NY01075788_lg.jpg	1075788	William R. Buck	30565	31°44'N, 82°50'W	18 September 1996	1996-09-18		Coffee	Georgia	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 10 mi NE of Broxton, 31°44'N, 82°50'W, ca. 70 m	extensive sandstone outcrops with mesic oak forest.		ca. 70 m			31°44'N	82°50'W	31.733	-82.833	NEW YORK BOTANICAL GARDEN	Cryptogams of Georgia				
