p d hurd	5
e e gilbert c d macneil	1
j r powers	1
krombein	1
j w macswain	4
o c la france	1
m wasbauer	1
p rude	1
w middlekauff	1
roland thaxter	1
william r buck	3
shirley c tucker	1
clifford m wetmore	1
richard c harris	3
t a zanoni d atha m vives	1
daniel atha with thomas a zanoni jose cedeno	1
james higgins with prosper paris	1
j g jack	1
steven r hill	1
r a e s howard	1
thomas r soderstrom	1
alain h perfa liogier n j melo 	1
j a shafer	1
n l britton l j k brace	1
t zanoni	1
bro alain	1
c wright	3
r garcia f jimenez	1
brother alain liogier	1
harold e box	1
m togashi	1
h a sierk	1
dr mrs a j sharp z iwatsuki i yoshimura	1
a j sharp and z iwatsuki	1
e hall	1
edward tuckerman	1
walter kiener	2
barbara moore	1
stephen s talbot	6
stephen sandra talbot	1
l geiser	1
n grulke	1
