filename	event_date2
EMEC609488_Cerceris_compacta.txt	11 july 1951
EMEC609504_Cerceris_compacta.txt	11 july 1951
EMEC609515_Cerceris_compacta.txt	7-17-32
EMEC609523_Cerceris_compacta.txt	July 4, 1954
EMEC609529_Cerceris_compacta.txt	VI-28-53
EMEC609543_Cerceris_compacta.txt	VII-8-52
EMEC609600_Cerceris_compacta.txt	4 April 1978
EMEC609601_Cerceris_compacta.txt	June 25, 1975
EMEC609612_Cerceris_compacta.txt	July 18-22. 1951
EMEC609623_Cerceris_compacta.txt	VII-22-51
EMEC609639_Cerceris_compar_compar.txt	July 1, 1934
EMEC609675_Cerceris_conifrons.txt	VIII-6-50
EMEC609686_Cerceris_conifrons.txt	Aug. 26, 1977
EMEC609696_Cerceris_conifrons.txt	10 aug 51
EMEC609705_Cerceris_conifrons.txt	28 June 1966
EMEC609711_Cerceris_convergens.txt	2 May 1951
EMEC609719_Cerceris_convergens.txt	7 1925
EMEC609722_Cerceris_convergens.txt	VII-16-50
EMEC609740_Cerceris_convergens.txt	April 26, 1952
EMEC609764_Cerceris_convergens.txt	VII-2-53
EMEC609785_Cerceris_convergens.txt	1961?
EMEC609803_Cerceris_convergens.txt	IX-1-1959
EMEC609826_Cerceris_convergens.txt	
EMEC609828_Cerceris_convergens.txt	May 3, 1956
EMEC609879_Cerceris_convergens.txt	IX-15-1974
EMEC609880_Cerceris_convergens.txt	4-IX-1978
EMEC609882_Cerceris_convergens.txt	Aug. 20, 1976
EMEC609885_Cerceris_convergens.txt	X-28-56
EMEC609900_Stigmus_sp.txt	May 22, 1980
EMEC609903_Stigmus_sp.txt	Aug. 2, 1973
EMEC609926_Stigmus_sp.txt	12 July 1970
EMEC609939_Stigmus_sp.txt	Sept 14-16, 1992
EMEC609987_Aphilanthops_foxi.txt	IV-29-52
EMEC609997_Aphilanthops_foxi.txt	IV-30-49
NY01075765_lg.txt	Feb. 1898
NY01075766_lg.txt	5 november 1976
NY01075768_lg.txt	6 may 1999
NY01075775_lg.txt	10 May 1991
NY01075790_lg.txt	march 16 1979
NY01075792_lg.txt	29 may 1976
NY01075806_lg.txt	4 sep 1960
NY01075818_lg.txt	3 december 1994
NY01075822_lg.txt	1 december 1994
NY01075827_lg.txt	17 december 1988
NY01075831_lg.txt	5 december 1994
NY01075837_lg.txt	1 december 1988
NY_00020326.txt	Dec. 28, 1994
NY_00040685.txt	november 4, 1994
NY_00040919.txt	August 24, 1992
NY_00198945.txt	Sept 1913
NY_00198993.txt	12 March 1931
NY_00413475.txt	Oct. 15, 1980
NY_00413589.txt	10 March 1993
NY_00499439.txt	Aug31-sept 20 1905
NY_00617450.txt	September 2, 1946
NY_00641566.txt	10 february 1983
NY_00754868.txt	16 may 2000
NY_00754872.txt	10/3/79
NY_00819601.txt	13 march 1913
NY_01334326.txt	Aug 24 1904
NY_01334334.txt	11 julio 1985
NY_01334374.txt	12 January 1962
NY_01334391.txt	may 20 1955
NY_01334433.txt	1860
NY_01334438.txt	23 January 1985
NY_01334464.txt	February 1896
NY_01334493.txt	20 enero 1975
NY_01334508.txt	April 30, 1964
NY_01497987.txt	oct 1934
NY_01498039.txt	7 May 1938
NY_01498043.txt	aug 31- sept 20, 1905
NY_01498065.txt	8 December 1976
NY_01498090.txt	June 7, 1979
NY_01498103.txt	March 8, 1916
NY_01498113.txt	27 March 1885
NY_01498139.txt	1899
NY_01498155.txt	Marach 1890
NY_01498166.txt	June 24, 1991
NY_01498191.txt	June 6, 1977
TENN-L-0000013_lg.txt	july 18, 1969
TENN-L-0000019_lg.txt	8 August 1954
TENN-L-0000028_lg.txt	Aug 1, 1957
TENN-L-0000035_lg.txt	Oct. 30, 1965
TENN-L-0000047_lg.txt	July 24, 1967
TENN-L-0000057_lg.txt	September 19 1941
TENN-L-0000058_lg.txt	1871
TENN-L-0000061_lg.txt	
TENN-L-0000063_lg.txt	
TENN-L-0000072_lg.txt	sept 20 1935
TENN-L-0000084_lg.txt	13 april 1963
TENN-L-0000089_lg.txt	july 25, 1936
WIS-L-0011734_lg.txt	july 1982
WIS-L-0012025_lg.txt	July 22, 1988
WIS-L-0012041_lg.txt	July 19, 2003
WIS-L-0012052_lg.txt	July 19, 2003
WIS-L-0012056_lg.txt	July 19, 2003
WIS-L-0012062_lg.txt	october 1981
WIS-L-0012070_lg.txt	14 July 1995
WIS-L-0012071_lg.txt	26 july 1989
WIS-L-0012077_lg.txt	August 1987
