filename	dwc:catalogNumber	dwc:recordedBy	dwc:recordNumber	dwc:verbatimEventDate	aocr:verbatimScientificName	aocr:verbatimInstitution	dwc:datasetName	dwc:verbatimLocality	dwc:country	dwc:stateProvince	dwc:county	dwc:verbatimLatitude	dwc:verbatimLongitude	dwc:eventDate	dwc:scientificName	dwc:decimalLatitude	dwc:decimalLongitude	dwc:fieldNotes	dwc:sex	dwc:identifiedBy	aocr:verbatimDateIdentified	dwc:dateIdentified	dwc:verbatimElevation	dwc:habitat	dwc:municipality	dwc:occurrenceRemarks	dwc:substrate	dwc:verbatimCoordinates	dwc:family
EMEC609488_Cerceris_compacta.jpg	EMEC 609,488	P. D. Hurd		1951-07-11	Cerceris compacta Cr.	U.C. Berkeley		10 km.W.of Zitacuaro, Mich.,Mex.	Mexico					1951-07-11					female	H. A. Scullen		1958							
EMEC609504_Cerceris_compacta.jpg	EMEC 609,504	P. D. Hurd		'11 July 1951	Cerceris compacta Cr.	U.C. Berkeley		Tuxpan,Mich- oacan,Mex.											female	H. A. Scullen		1960							
EMEC609515_Cerceris_compacta.jpg	EMEC 609,515			7-17-32	Cerceris compacta compacta Cr.	U.C. Berkeley		Phoenix Ariz.											female	H.A.Scullen		62							
EMEC609523_Cerceris_compacta.jpg	EMEC 609,523	J. W. MacSwain		VII-4-54	Cerceris compacta compacta Cr.	U.C. Berkeley		Moctezuma Chih.,MEX						1954-07-04					male	H.A.Scullen		1962							
EMEC609526_Cerceris_compacta.jpg	EMEC 609,526	D.H.Janzen		VI-11-1962	Cerceris compacta compacta Cr.	U.C. Berkeley		10 mi. S. Caborca Son. Mexico	Mexico					1962-06-11					male	H.A.Scullen		1967							
EMEC609529_Cerceris_compacta.jpg	EMEC 609,529	Snelling		VI-28-53	Cerceris compacta compacta Cr.	U.C. Berkeley		1 Mi.E.Calexico, Imperial Co., Calif.						1953-06-28					male	H.A.Scullen		1964		on Melilotus alba					
EMEC609543_Cerceris_compacta.jpg	EMEC 609,543	E. E. Gilbert C. D. MacNeil		VII-8-52	Cerceris aureofacialis	U.C. Berkeley		Oaxaca Oaxaca, Mex.		Oaxaca				1952-07-08					male	Cam H.A.Scullen		1961							
EMEC609563_Cerceris_compacta.jpg	EMEC 609,563	J. W. MacSwain		VIII-6-50	Cerceris compacta Cr.	U. C. Berkeley		Joseph City Navajo Co. Ariz						1950-08-06					male	H. A. Scullen		1958							
EMEC609564_Cerceris_compacta.jpg	EMEC 609,564	J. W. MacSwain		VIII-6-50	Cerceris compacta Cr.	U. C. Berkeley		Joseph City Navajo Co. Ariz		Arizona				1950-08-06				Asclepias	male	H. A.Scullen		1958							
EMEC609576_Cerceris_compacta.jpg	EMEC 609,576	C T Dodds		VII-7-1922	Cerceris compacta Cr.	U. C. Berkeley		LosMochis Sinaloa Mex.						1922-07-07					male	H.A. Scullen		1960							
