filename	dwc:eventDate
EMEC609488_Cerceris_compacta.jpg	1951-07-11
EMEC609504_Cerceris_compacta.jpg	
EMEC609515_Cerceris_compacta.jpg	
EMEC609523_Cerceris_compacta.jpg	1954-07-04
EMEC609529_Cerceris_compacta.jpg	1953-06-28
EMEC609543_Cerceris_compacta.jpg	1952-07-08
EMEC609600_Cerceris_compacta.jpg	1978-09-04
EMEC609601_Cerceris_compacta.jpg	1975-06-25
EMEC609612_Cerceris_compacta.jpg	
EMEC609623_Cerceris_compacta.jpg	1951-07-18/22
EMEC609639_Cerceris_compar_compar.jpg	1934-07-01
EMEC609675_Cerceris_conifrons.jpg	1950-08-06
EMEC609686_Cerceris_conifrons.jpg	1977-08-26
EMEC609696_Cerceris_conifrons.jpg	1951-08-10
EMEC609705_Cerceris_conifrons.jpg	1953-04-22/23
EMEC609711_Cerceris_convergens.jpg	1951-06-02/05
EMEC609719_Cerceris_convergens.jpg	1925-07
EMEC609722_Cerceris_convergens.jpg	1964-07-16
EMEC609740_Cerceris_convergens.jpg	1952-04-26
EMEC609764_Cerceris_convergens.jpg	1953-07-02
EMEC609785_Cerceris_convergens.jpg	1959-08-08
EMEC609803_Cerceris_convergens.jpg	1959-09-01
EMEC609826_Cerceris_convergens.jpg	1954-04-27
EMEC609828_Cerceris_convergens.jpg	1956-05-03
EMEC609879_Cerceris_convergens.jpg	1974-09-15
EMEC609880_Cerceris_convergens.jpg	1978-09-04
EMEC609882_Cerceris_convergens.jpg	1976-08-20
EMEC609885_Cerceris_convergens.jpg	1956-10-28
EMEC609900_Stigmus_sp.jpg	1980-05-22
EMEC609903_Stigmus_sp.jpg	1973-08-02
EMEC609926_Stigmus_sp.jpg	1970-07-12
EMEC609939_Stigmus_sp.jpg	1992-09-14/16
EMEC609987_Aphilanthops_foxi.jpg	1952-04-29
EMEC609997_Aphilanthops_foxi.jpg	1949-04-30
NY_00020326.jpg	1994-10-28
NY_00040685.jpg	1994-11-04
NY_00040919.jpg	1992-08-24
NY_00198945.jpg	1913-09
NY_00198993.jpg	1931-03-12
NY_00413475.jpg	1980-10-15
NY_00413589.jpg	1993-03-10
NY_00499439.jpg	1905-08-31/1905-09-20
NY_00617450.jpg	1946-09-02
NY_00641566.jpg	1983-02-10
NY_00754868.jpg	2000-05-16
NY_00754872.jpg	1979-03-10
NY_00819601.jpg	1913-03-13
NY_01334326.jpg	
NY_01334334.jpg	1985-07-11
NY_01334374.jpg	1962-01-12
NY_01334391.jpg	1955-05-20
NY_01334433.jpg	1860
NY_01334438.jpg	1985-01-23
NY_01334464.jpg	1896-02
NY_01334493.jpg	1975-01-20
NY_01334508.jpg	1964-04-30
NY_01497987.jpg	1934-10
NY_01498039.jpg	1938-05-07
NY_01498043.jpg	1905-08-31/1905-09-20
NY_01498065.jpg	1976-12-08
NY_01498090.jpg	1979-06-07
NY_01498103.jpg	1916-03-08
NY_01498113.jpg	1885-03-27 1860/1864
NY_01498139.jpg	
NY_01498155.jpg	
NY_01498166.jpg	1991-06-24
NY_01498191.jpg	6/6/1977
NY01075765_lg.jpg	1898-02
NY01075766_lg.jpg	1976-11-05
NY01075768_lg.jpg	1999-05-06
NY01075775_lg.jpg	1991-05-10
NY01075790_lg.jpg	1979-03-16
NY01075792_lg.jpg	1976-05-29
NY01075806_lg.jpg	1960-09-04
NY01075818_lg.jpg	1994-12-03
NY01075822_lg.jpg	1994-12-01
NY01075827_lg.jpg	1988-12-17
NY01075831_lg.jpg	1994-12-05
NY01075837_lg.jpg	1988-12-01
TENN-L-0000013_lg.jpg	1969-07-18
TENN-L-0000019_lg.jpg	1954-08-08
TENN-L-0000028_lg.jpg	1957-08-01
TENN-L-0000035_lg.jpg	1965-10-30
TENN-L-0000047_lg.jpg	1967-07-24
TENN-L-0000057_lg.jpg	1941-09-19
TENN-L-0000058_lg.jpg	1871
TENN-L-0000061_lg.jpg	1959
TENN-L-0000063_lg.jpg	
TENN-L-0000072_lg.jpg	1935-09-20
TENN-L-0000084_lg.jpg	1963-04-13
TENN-L-0000089_lg.jpg	1936-07-25
WIS-L-0011734_lg.jpg	1982-07
WIS-L-0012025_lg.jpg	1988-07-22
WIS-L-0012041_lg.jpg	2003-07-19
WIS-L-0012052_lg.jpg	2003-07-19
WIS-L-0012056_lg.jpg	2003-07-19
WIS-L-0012062_lg.jpg	1981-10
WIS-L-0012070_lg.jpg	1995-07-14
WIS-L-0012071_lg.jpg	1989-07-26
WIS-L-0012077_lg.jpg	1987-08
