filename	dwc:recordedBy
EMEC609488_Cerceris_compacta.jpg	P. D. Hurd
EMEC609504_Cerceris_compacta.jpg	P. D. Hurd
EMEC609515_Cerceris_compacta.jpg	
EMEC609523_Cerceris_compacta.jpg	J. W. MacSwain
EMEC609526_Cerceris_compacta.jpg	D.H.Janzen
EMEC609529_Cerceris_compacta.jpg	Snelling
EMEC609543_Cerceris_compacta.jpg	E. E. Gilbert C. D. MacNeil
EMEC609563_Cerceris_compacta.jpg	J. W. MacSwain
EMEC609564_Cerceris_compacta.jpg	J. W. MacSwain
EMEC609576_Cerceris_compacta.jpg	C T Dodds
EMEC609589_Cerceris_compacta.jpg	J.R.Powers
EMEC609590_Cerceris_compacta.jpg	J.R.Powers
EMEC609600_Cerceris_compacta.jpg	R.E.Coville
EMEC609601_Cerceris_compacta.jpg	J.R.Powers
EMEC609612_Cerceris_compacta.jpg	P. D. Hurd
EMEC609614_Cerceris_compacta.jpg	P. D. Hurd
EMEC609623_Cerceris_compacta.jpg	P. D. Hurd
EMEC609624_Cerceris_compacta.jpg	P. D. Hurd
EMEC609636_Cerceris_compar_compar.jpg	P. D. Hurd
EMEC609639_Cerceris_compar_compar.jpg	Krombein
EMEC609643_Cerceris_completa.jpg	D.D.Linsdale
EMEC609651_Cerceris_completa.jpg	C.D.MacNeill
EMEC609661_Cerceris_completa.jpg	J.R.Powers
EMEC609675_Cerceris_conifrons.jpg	J. W. MacSwain
EMEC609683_Cerceris_conifrons.jpg	E.G Linsley
EMEC609685_Cerceris_conifrons.jpg	R. E. Coville
EMEC609686_Cerceris_conifrons.jpg	R. E. Coville
EMEC609689_Cerceris_conifrons.jpg	M.Wasbauer
EMEC609696_Cerceris_conifrons.jpg	P. D. Hurd
EMEC609705_Cerceris_conifrons.jpg	J.M. Davidson M.A. Cazier
EMEC609709_Cerceris_convergens.jpg	J MacSwain
EMEC609711_Cerceris_convergens.jpg	P.D. Hurd
EMEC609719_Cerceris_convergens.jpg	
EMEC609722_Cerceris_convergens.jpg	F.D.Parker
EMEC609730_Cerceris_convergens.jpg	F.D.Parker
EMEC609733_Cerceris_convergens.jpg	N.W.Frazier
EMEC609740_Cerceris_convergens.jpg	J. G. Rozen
EMEC609742_Cerceris_convergens.jpg	R.Coville
EMEC609747_Cerceris_convergens.jpg	N.W.Frazier
EMEC609758_Cerceris_convergens.jpg	C. D. Michener
EMEC609764_Cerceris_convergens.jpg	J. W. MacSwain
EMEC609766_Cerceris_convergens.jpg	J. W. MacSwain
EMEC609770_Cerceris_convergens.jpg	E. G. Linsley
EMEC609780_Cerceris_convergens.jpg	E. S. Ross
EMEC609782_Cerceris_convergens.jpg	P. D. Hurd
EMEC609785_Cerceris_convergens.jpg	E.G Linsley
EMEC609795_Cerceris_convergens.jpg	R. S. Beal
EMEC609800_Cerceris_convergens.jpg	M. Wasbauer
