NY_00754872.txt	bambusa vulgaris	bambusa vulgaris
NY_01334374.txt	capraria biflora	capraria biflora
NY_01334391.txt	capraria biflora	capraria biflora
NY_01334433.txt	capraria biflora	capraria biflora
NY_01334438.txt	capraria biflora	capraria biflora
NY_01334464.txt	capraria biflora	capraria biflora
NY_01334508.txt	lindernia crustacea	lindernia crustacea
NY_01498090.txt	mitreola petiolata	mitreola petiolata
NY_01498103.txt	mitreola petiolata	mitreola petiolata
NY_01498113.txt	mitreola petiolata	mitreola petiolata
NY_01498166.txt	spigelia anthelmia	spigelia anthelmia
NY_01498191.txt	spigelia anthelmia	spigelia anthelmia
