r k godfrey	4
david hanf	1
a g shuey	1
loran c anderson	8
charles c taylor	1
david lee hanon	1
james e poppleton	1
june becker and deborah howd	1
k craddock burks	2
robert k godfrey angus gholson wilson baker	1
a f clewell	1
heins schadow	1
debbie chapman	1
james r burkhalter	19
james r burkhalter and oliver freeman	1
janet s bunch	1
weber hawkins	2
hugh o neill	1
g f weber	2
watson murrill	1
a n tissot e west	1
erdman west	3
george r cooley	1
e s ford	2
a p garber m d 	2
wm g atwater	2
d b s s ward	2
w g d arcy	8
john beckner	1
robert l and john d lazor	1
j b nelson with w m whitten	1
bruce joann hansen	1
tom maccubbin	1
steve l orzell and edwin l bridges	1
h h hume e west	1
lillian e arnold	1
george avery	1
s c hood	4
w c brumbach	1
david w hall	1
george n avery	1
paul m cassen	1
r r smith	3
l d ober	1
a h curtiss	1
l baltzell	6
burger west	1
j k small	1
j b mcfarlin	3
elmer c prichard	1
d b ward	3
alexandra feliciano	1
a cuthbert	1
fred walker	1
lillian arnold	1
peter w alcorn	1
bessie kirk	1
e west	1
allen g shuey	1
cecil r slaughter ph d	1
melanie darst a k gholson	1
megan selva	1
john birkheimer	1
amir uddin	1
shuey	8
sharon carter	2
poppleton pohlad	1
lamar bass	1
rexford and jean daubenmire	1
c j seymour	1
paul o schallert	3
alice m bard	1
william smith	1
r j daubenmire	1
	4
jessica lee pirkey	3
courtney knickerbocker	1
paul lessard	1
sam hopkins	2
samuel b hopkins jr 	1
ellen m kirkland	1
barbara kohler	2
jennifer kinney	1
larry w johnson	1
bruce mcdonell	1
jason seyfert	2
chelsea dowell	1
j e poppleton	1
claudia bielby	1
j h willson	1
pat fred harden sam hopkins	1
chelsea neff	1
amethyst strickland	1
s r stafford	1
dale p todd	1
joan candalino	1
lydia knapp	2
earl bellemore	1
sanjaya ranasinghe	1
harriet gale	1
woodruff bryne	1
janet c easterday	1
james gilreath	2
stern tippo hickey christensen atchley beaman phipps crouse davis lauver park	1
carmel vanhoek and betty wargo	1
a will	1
s t levinson	1
eleanor scull	1
t j stelter	1
r w long o lakela r broome f almeda	1
henry a pilsbry	1
r r smith t myint b moore	1
r r smith t myint	2
o lakela	2
khai huynh	1
exploration party 1937	1
