by Loran C. Anderson	3	20	RECORDEDBY
COLLECTED BY: David Hanf 	14	24	RECORDEDBY
DETERMINED BY: David Hanf DATE: 10-17-91 	15	25	RECORDEDBY
Fla. Collector: Sam Hopkins Date: 11-7-83 Number: 2010 PLANTS OF FLORIDA 	16	27	RECORDEDBY
Eric Hoeppner 	0	13	RECORDEDBY
Eric Hoeppner DATE: 4-17-74 	0	13	RECORDEDBY
SHUEY 	0	5	RECORDEDBY
SHUEY 10/17/1973 	0	5	RECORDEDBY
David Hanf 	0	10	RECORDEDBY
David Hanf 	0	10	RECORDEDBY
Marisa Tishman Det.	0	14	RECORDEDBY
Marisa Tishman 	0	14	RECORDEDBY
J.H.WILLSON 	0	11	RECORDEDBY
DETERMINED BY:J.H.WILLSON 06131 No.95 	14	25	RECORDEDBY
21 April 2016 Loran C. Anderson	14	31	RECORDEDBY
25 May 2010 Loran C. Anderson no.	12	29	RECORDEDBY
June 2000 Loran c. Anderson	10	27	RECORDEDBY
Dc 2012 James R. Burkhalter 23825 	8	27	RECORDEDBY
L. Annotated: James R. Burkhalter Mar 31, 1981 HERBARIUM OF THE UNIVERSITY OF WEST FLORIDA Plants of Florida Ipomoea coccinea L. Syn.	14	33	RECORDEDBY
James R. Burkhalter No. 1977 	0	19	RECORDEDBY
Coll James R. Burkhalter Det JRB 	5	24	RECORDEDBY
James R. Burkhalter Det.	0	19	RECORDEDBY
James R. Burkhalter Det JRB 	0	19	RECORDEDBY
James R. Burkhalter 	0	19	RECORDEDBY
A. CUTHBERT. 	0	11	RECORDEDBY
Pasture Survey Det.	0	14	RECORDEDBY
m young 194.8 HERBARIUM OF S. C. HOOD 	27	37	RECORDEDBY
K. Corbett Det.	0	10	RECORDEDBY
Dec 1968 Collected by R. K. Godfrey No. 54579 Det. 	22	35	RECORDEDBY
31523 E. P. KILLIP, Collector tel.2l 1936 KILLIP, ollector 	6	18	RECORDEDBY
R. K. Godfrey det.	0	13	RECORDEDBY
D. B. Ward A-4, with BTY 421, 1961 14 April 1961 det.	0	10	RECORDEDBY
W. G. D'Arcy #3039 det.	0	12	RECORDEDBY
Petals white, moderately reflexed; fruit green; frequent; s. shore of Lake Alice, University of Florida farm, s.w. of the campus, Gainesville, Alachua County coll, J. Beckner #2353 3 Oct 1969 det.	164	174	RECORDEDBY
Loran C. Anderson	0	17	RECORDEDBY
George N. Avery det.	0	15	RECORDEDBY
E. West 	0	7	RECORDEDBY
Ruben P. Sauleda 	0	16	RECORDEDBY
Dave Flietner #27 Nov. 10, 1985 det.	0	13	RECORDEDBY
L. M. Baltzell #10360 det.	0	14	RECORDEDBY
J. M. Crevasse 10/18/40 Dichondra sp.	0	14	RECORDEDBY
(sterile) Det. J. M. Crevasse det.	15	29	RECORDEDBY
W. C. Brumbach 5625	0	14	RECORDEDBY
W. C. Brumbach det.	0	14	RECORDEDBY
Martin McKellar # 019	0	15	RECORDEDBY
Martin McKellar 	0	15	RECORDEDBY
Ipomoea hederifolia L. Martin McKellar, FLAS 20 Dec. 1991 	23	38	RECORDEDBY
A. S. Rhoads Date 22 Oct. 1936. 	0	12	RECORDEDBY
A. S. Rhoads. 	0	12	RECORDEDBY
L. Baltzell#7682 	0	11	RECORDEDBY
Erdman West Date	0	11	RECORDEDBY
PAUL M. CASSEN 	0	14	RECORDEDBY
Caroline Easley	0	15	RECORDEDBY
8 Legit A. H. CURTISS. 	8	21	RECORDEDBY
PAUL M. CASSEN DANIEL	0	14	RECORDEDBY
L. Baltzell#9866 Kent D. Perkins 	0	11	RECORDEDBY
David W. Hall 1670 13 June 1986 det.	0	13	RECORDEDBY
Exploration Party 1937 5 Date.	0	22	RECORDEDBY
B. Moore det.	0	8	RECORDEDBY
W. C. Brumbach #6628 det.	0	14	RECORDEDBY
R. K. Godfrey NO. 73508 DET.	0	13	RECORDEDBY
Janet C. Easterday	0	18	RECORDEDBY
James R. Burkhalter No. 13334 	0	19	RECORDEDBY
James R. Burkhalter Det JRB UWFP017535 	0	19	RECORDEDBY
James R. Burkhalter Det JRB UWFP017563 	0	19	RECORDEDBY
James R. Burkhalter DET.	0	19	RECORDEDBY
James R. Burkhalter 	0	19	RECORDEDBY
A. CUTHBERT. 	0	11	RECORDEDBY
W.G. D'Arcy 1609 det.	0	11	RECORDEDBY
W.G. D'Arcy December 1968 	0	11	RECORDEDBY
