r k godfrey	10
m y menzel	2
menzel and wilson	28
menzel wilson	24
m y menzel and f d wilson	10
not shown	1
	12
m y menzel d w martin	4
d wise	22
d wise and m menzel	1
d wise m menzel	1
f c craighead	4
loran c anderson	10
melanie r darst	1
c jackson	1
o lakela	3
jean wooten victoria i sullivan	1
cecil r slaughter	1
d b ward d burch	1
kurt e blum	1
h kurz	2
a a eaton	1
james r burkhalter	19
james r burkhalter f r hedges	1
j r burkhalter j l kavanaugh	1
m y menzel f d wilson	3
m y menzel kf d wilson	1
william d reese	1
chris l bray	1
k craddock burks	1
g r cooley c e wood jr k a wilson l j brass	1
sidney mcdaniel	1
wm g atwater	1
richard s mitchell	1
delzie demaree	2
r kral	5
elmer c prichard	1
j ferborgh jane brockmann	1
r f thorne r a davidson	1
john popenoe	1
r k godfrey d b ward d burch	2
s todd	1
frances joyner	1
r daubenmire j daubenmire	1
john d meade	1
ed keppner lisa keppner	1
mark scheller	1
k j davis e m stangeland	1
james k cutler	1
glenn griffith	1
lee likins	1
donald h ray benrick l abad	1
