FE_13769714.txt	William R. Stimson	William R. Stimson	William R. Stimson
FE_13769719.txt	S. W. Leonard	S. W. Leonard	S. W. Leonard
FE_13769728.txt	Loran C. Anderson	Loran C. Anderson	Loran C. Anderson 
FE_13769747.txt	Maty W. Didell	Mary W Diddell	Mary W. Diddell
FE_13769790.txt	Loran C. Anderson	Loran C. Anderson, Wilson Baker	Loran C. Anderson w/ Wilson Baker
FE_13769797.txt	Loran C. Anderson	Loran C. Anderson	Loran C. Anderson
FE_13769873.txt	R. K. Godfrey	R. K. Godfrey	R. K. Godfrey
FE_13769891.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13769902.txt	Loran C. Anderson	Loran C. Anderson	Loran C. Anderson
FE_13769918.txt	R Keal	R. K. Godfrey	R Kral
FE_13769930.txt	Cecil R. Slaughter	cecil r slaughter	Cecil R. Slaughter
FE_13769964.txt	Logan C. Anderson	Loran C. Anderson	Loran C. Anderson
FE_13769984.txt	Loran C. Anderson	Loran C. Anderson	Loran C. Anderson
FE_13769985.txt	Loran C. Anderson	Loran C. Anderson 	Loran C. Anderson
FE_13770007.txt	R.K. Godfrey and Angus Gholson	R.K. Godfrey	R. K. Godfrey
FE_13770025.txt	Gil Nelson with Keith Bradley & W. Wilson	Gil Nelson, with Keith Bradley, and W. Wilson Baker	Gil Nelson, with Keith Bradley and W. Wilson Baker
FE_13770027.txt	S. W. Leonard 	S. W. Leonard	walter S judd
FE_13770038.txt	R. Dale Thomas, Paul Marx	R. Dale Thomas, Paul Marx	Paul Marx
FE_13770044.txt	A. Gholsen Jr. 	A. Gholson, Jr. 	A. Gholson Jr. 
FE_13770056.txt	S. W. leonard	S. W. Leonard	S. W. Leonard
FE_13770086.txt	Walter S Judd	Loran C. Anderson	Loran C. Anderson
FE_13770110.txt	Loran C. Anderson, Bill Anderson, Pam Anderson	Loran C Anderson	Loran C. Anderson
FE_13770124.txt	Loran C. Anderson	Loran. C. Anderson 	Loran C. Anderson
FE_13770130.txt	R. K. Godfrey	R.K. Godfrey	R. K. Godfrey
FE_13770138.txt	Loran C. Anderson	Loran C. Anderson	Loran Anderson
FE_13770159.txt	Loran C. Anderson	anderson	Loran C. Anderson
FE_13770176.txt	Loran C. Andersons	Loran C. Anderson	Loran C. Anderson 
FE_13770179.txt	Loran C. Anderson	Loran C. Anderson	Loran C. Anderson
