william r stimson	2
s w leonard	9
loran c anderson	29
mary w diddell	1
r k godfrey	9
james r burkhalter	55
cecil r slaughter	6
gil nelson with keith bradley and w wilson baker	1
r dale thomas paul marx	2
a gholson jr 	2
loran c andersons	1
m darst with h light and lori peed	2
r kral	2
c jackson	1
james p gillespie r kral r k godfrey	1
k m meyer a townesmith	1
james p gillespie	1
sidney mcdaniel	2
m i cousens	6
	12
debra grimm	1
f h booker	4
frances booker	1
thomas j hudson 	1
james r burkhalter and frances booker 	1
e o neill	1
james r burkhalter 	2
frankie c johns	1
r and j daubenmire	2
john t mickel	1
gil nelson keith bradley	1
c f dowling	1
edward p st john	2
cecil r slaughter marc minno	1
jean wooten	2
west and arnold	1
j h scudder	1
k craddock burks	2
michael manna	1
pamela simpkins	1
james d ray jr olga lakela jackie patman	1
mark a garland gary knight	1
herb wagner	1
buswell	1
s f blake	1
gil nelson with angus gholson	1
a m laessle	1
o lakela	2
robert k hood jr 	5
thomas j hudson	5
elaine luna	1
mi cousens	1
david wiggins	2
frances joyner	1
terry burch	1
robert k hood	1
john duncan	1
peggy ann winter	1
keeth staton	1
s w leonard wilson baker	1
j r burkhalter with r l leonard	2
mark scheller d grimm	2
tina r kesler	1
r a pursell	1
richard s mitchell	3
robert l lazor	1
james h scudder	2
p l redfearn jr r kral	1
d b s s ward	1
carol h beck	1
grady l webster	1
r kral p l redfearn	1
frances h booker	2
r j daubenmire	3
f booker	1
james r burkhalter with s b lacina	1
spence j slattery	1
r k godfrey angus gholson	1
f booker m cousens and a blyth 	1
michael i cousens	1
j r burkhalter j l kavanaugh	1
j macauley	1
a blythe f booker	1
ellen j o neill	1
f j butera	1
j m scheller	1
robert f doren	1
joann falls	1
jeanne place	1
e m stangeland k j davis	1
amelie blyth	1
ed lisa keppner	1
john e allen	1
j r burkhalter and j f jordan 	1
